,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle
1450.0,713.378874621842,638.3448539163284,268.73478994685917,542.0,765.6927201005427,644.779974267071,220.93468104558963,544.0,716.8219059855046,612.6023340822965,130.28168812718803,459.0,643.0478282088824,531.9217944077459,80.19357047882991,334.0,487.2099956005279,434.89970352766073,31.196429010324273,249.0,335.53895223510824,310.6720178984967,17.161170848617868,145.0,234.17779274559697,213.53198582467164,1.1487186172347734,80.0,125.34386203647973,132.09924979260376,0.4821856666890347,40.0,69.7346935694213,86.73535916906125,25.0,46.114486776311686,52.88847798290934,7.0,18.147091144193546,25.87592891588522,3.0,7.845123498924234,10.538718507094313,1.0
1500.0,714.3347308614767,640.7578922796052,268.9523894776602,542.0,766.6006969381467,648.9165569763069,221.86916278235486,544.0,720.9413096103953,618.0583770995304,130.4241707760295,459.0,646.1580052820929,534.5263803959901,81.15899451569284,334.0,488.45709668355346,440.24000186011904,31.344476275570322,249.0,340.51803515295325,312.2640378857801,17.207354256732394,145.0,237.58972760961484,216.51759916036826,1.2156306170099909,80.0,126.11875646860335,132.9141130901343,0.5047984370468285,40.0,70.6718486607979,87.40135995758517,25.0,46.59673961290262,53.27702763990827,7.0,18.331185417000945,26.303256384309236,3.0,7.9417642649533065,10.635830400337616,1.0
1550.0,715.3773241479978,642.411582554877,269.9831351065693,542.0,768.4458249858985,652.637748441701,223.16548446515984,544.0,723.5705265574775,620.1608441321039,130.56665342487102,459.0,647.9739027843323,538.0673096203411,81.47172905705497,334.0,490.74464009518147,445.8455061107538,31.49252354081637,249.0,343.9057423268006,313.26594534910606,17.253537664846917,145.0,240.0628397612692,217.93995414790606,1.2825426167852083,80.0,128.56628601240507,136.27621952935218,0.5274112074046223,40.0,73.23701145894744,88.52762611353484,25.0,47.10917025593796,53.80031427859648,7.0,18.51527968980834,26.858873735414367,3.0,8.404190018350263,10.732942293580917,1.0
1600.0,716.6490533069875,643.3536442886672,273.4490805000584,542.0,770.7751736773799,654.7055682489154,224.46325399709303,544.0,727.2762908806058,621.4292220495914,130.7091360737125,459.0,653.0756079279206,541.9987773116761,81.78446359841709,334.0,495.74601224601224,447.5311025191327,31.64057080606242,249.0,346.87585376486953,317.87002141144956,17.29972107296144,145.0,242.30264269893777,220.44581073945548,1.349454616560426,80.0,132.9950836381078,137.20410784093644,0.5500239777624162,40.0,74.60488518328312,89.6041814224636,25.0,47.77566010319528,54.28132139322933,7.0,18.699373962615738,27.542309289621365,3.0,9.061058921845184,10.83005418682422,1.0
1650.0,718.4993456948721,644.4468321090008,276.25020061375653,542.0,773.1799369738904,658.1001215864294,228.25501611196327,544.0,729.1884715234634,622.168601948133,130.851618722554,459.0,656.3800694313625,543.5872115282488,82.04408146192111,334.0,499.82534658444854,451.36144991842093,31.78861807130847,249.0,349.37878499158575,320.98867884414364,17.345904481075966,145.0,243.1468582083471,222.14304998823465,1.4163666163356434,80.0,135.80434299153396,138.02191616276053,0.5726367481202099,40.0,76.29991536773666,91.34317982795034,25.0,48.146394353024334,54.73623891166315,7.0,18.883468235423138,28.174076670563952,3.0,9.208473303816866,10.927166080067524,1.0
1700.0,721.2346786248131,645.4392204122568,278.03332524479714,542.0,774.1742870463395,658.9617444497268,229.4556366938459,544.0,729.9218251481568,624.1185710417901,130.9941013713955,459.0,658.1465323342694,547.0333975012268,82.18591335096536,334.0,505.8977994837231,455.2660856776293,31.93666533655452,249.0,351.0591683984659,325.47265054169816,17.39208788919049,145.0,243.80130826099392,223.37822095825086,1.4832786161108609,80.0,137.36684109419957,138.5810130901844,0.5952495184780038,40.0,77.01334740092241,91.87066141245558,25.0,48.36706688705187,55.25938283661265,7.0,19.172966174925698,28.64404558790289,3.0,9.355887685788549,11.359298245614035,1.0
1750.0,722.5343173908132,647.1364031502601,278.61798367067286,542.0,775.8981325621425,659.8328400446833,232.1232383753795,544.0,731.5408027579414,624.7180193035219,131.3930623975782,459.0,659.6170454781903,551.2552950466754,82.32774524000962,334.0,507.5208652778062,458.352642892421,32.44794093531821,249.0,353.7269629654134,330.54328611829976,17.438271297305015,145.0,246.15051187265286,224.18297814065724,1.5501906158860783,80.0,137.9602424021163,139.39841017858322,0.6178622888357976,40.0,79.42521063040121,94.06881477008639,25.0,48.5877394210794,55.87666678722994,7.0,19.644264281333673,29.159019405139496,3.0,9.50330206776023,13.249500642194706,1.0
1800.0,723.050668482466,648.0165234579854,279.7664735640127,542.0,776.9858755733885,660.9815397387811,232.6530677977283,544.0,734.5744145633074,627.1351665266791,131.80309990760142,459.0,661.9495280323562,554.3476933569997,82.46957712905386,334.0,509.6725637978744,460.0,33.18321938074126,249.0,359.5375879603932,332.746098635202,17.484454705419537,145.0,247.54017838220778,225.82994973562242,1.6171026156612958,80.0,139.35799970670186,142.28571541809015,0.6404750591935914,40.0,80.49255521313593,94.525143772602,25.0,48.80841195510693,56.42970697089637,7.0,20.208043417468488,29.814498964611143,3.0,9.650716449731911,13.873564584371282,1.0
1850.0,723.3784085244416,648.6774617774013,285.02284335456994,542.0,779.0486458582866,665.3967793439537,234.19218047683609,544.0,737.1908615450491,627.8549019676751,132.5353236682909,459.0,667.0292496219759,556.4154441988345,82.61140901809812,334.0,515.4137640745028,465.3792277017015,33.804723797731874,249.0,361.5635616008605,335.58487444711454,17.53063811353406,145.0,249.5511744127936,229.55757725698348,1.6840146154365132,80.0,143.6690943472176,145.04294274405422,0.6630878295513852,40.0,81.29080570142536,94.9814727751176,25.0,49.03484173263157,56.9667063035803,7.0,21.13448928680596,30.225570949511273,3.0,9.798130831703594,14.1682633607646,1.0
1900.0,723.7061485664174,651.1230060752273,286.4603982777929,542.0,780.3967404312727,669.2235033108725,235.36906268948863,544.0,737.927781485966,629.6668448636628,134.1965433559472,459.0,670.3997623661542,559.1477216375558,82.75324090714236,334.0,517.2416636300908,466.49304978390956,34.43687149100297,249.0,366.4835598257513,337.77863012187726,17.576821521648586,145.0,250.89836651064869,232.01954889932156,1.7509266152117309,80.0,144.91607537214387,147.0860665622841,0.6857005999091791,40.0,83.59838553204294,95.40001669408296,25.0,49.29919615859975,58.111806663255784,7.0,22.14245091409731,30.540174998502252,3.0,9.945545213675276,14.379278386312048,1.0
